areaCode,areaName,areaType,date,newCasesByPublishDateChangePercentage,newCasesBySpecimenDate,uniqueCasePositivityBySpecimenDateRollingSum
E12000001,North East,region,2021-05-12,2.4,,
E12000001,North East,region,2021-05-11,10.6,44,
E12000001,North East,region,2021-05-10,-0.5,76,
E12000001,North East,region,2021-05-09,-6.7,102,
E12000001,North East,region,2021-05-08,-13.4,60,
E12000001,North East,region,2021-05-07,-12.9,77,0.8
E12000001,North East,region,2021-05-06,-7.4,85,0.8
E12000001,North East,region,2021-05-05,-8.6,84,0.8
E12000001,North East,region,2021-05-04,-15.1,123,0.7
E12000001,North East,region,2021-05-03,-1.3,75,0.7
E12000001,North East,region,2021-05-02,-0.6,59,0.7
E12000001,North East,region,2021-05-01,2.7,53,0.7
E12000001,North East,region,2021-04-30,-4.6,71,0.8
E12000001,North East,region,2021-04-29,-3.4,79,0.7
E12000001,North East,region,2021-04-28,-1.9,94,0.7
E12000001,North East,region,2021-04-27,13.1,103,0.8
E12000001,North East,region,2021-04-26,-0.7,124,0.7
E12000001,North East,region,2021-04-25,-8.4,95,0.7
E12000001,North East,region,2021-04-24,-9.3,62,0.7
E12000001,North East,region,2021-04-23,-4.0,77,0.7
E12000001,North East,region,2021-04-22,9.9,64,0.8
E12000001,North East,region,2021-04-21,3.9,112,0.8
E12000001,North East,region,2021-04-20,-16.6,84,0.8
E12000001,North East,region,2021-04-19,-5.8,103,0.9
E12000001,North East,region,2021-04-18,17.6,101,0.9
E12000001,North East,region,2021-04-17,11.7,68,0.9
E12000001,North East,region,2021-04-16,-5.5,92,0.9
E12000001,North East,region,2021-04-15,-31.0,76,1.0
E12000001,North East,region,2021-04-14,-36.5,98,1.0
E12000001,North East,region,2021-04-13,-37.1,63,1.1
E12000001,North East,region,2021-04-12,-44.9,99,1.2
E12000001,North East,region,2021-04-11,-60.4,122,1.2
E12000001,North East,region,2021-04-10,-56.7,80,1.3
E12000001,North East,region,2021-04-09,-43.1,96,1.3
E12000001,North East,region,2021-04-08,-45.3,103,1.4
E12000001,North East,region,2021-04-07,-44.6,120,1.5
E12000001,North East,region,2021-04-06,-40.0,130,1.7
E12000001,North East,region,2021-04-05,-41.2,127,1.8
E12000001,North East,region,2021-04-04,-18.4,103,1.9
E12000001,North East,region,2021-04-03,-29.1,99,2.0
E12000001,North East,region,2021-04-02,-44.8,96,2.2
E12000001,North East,region,2021-04-01,-27.6,147,2.2
E12000001,North East,region,2021-03-31,-15.8,217,2.2
E12000001,North East,region,2021-03-30,-6.6,175,2.4
E12000001,North East,region,2021-03-29,6.0,221,2.9
E12000001,North East,region,2021-03-28,-8.7,260,2.9
E12000001,North East,region,2021-03-27,1.7,204,3.0
E12000001,North East,region,2021-03-26,16.2,204,3.0
E12000001,North East,region,2021-03-25,2.0,219,3.1
E12000001,North East,region,2021-03-24,2.7,154,3.3
E12000001,North East,region,2021-03-23,-6.5,148,3.0
