Date,HomeTeam,AwayTeam,FTHG,FTAG
11/07/2021,Turkey,Italy,0,3
12/07/2021,Wales,Switzerland,1,1
12/07/2021,Denmark,Finland,0,1
12/07/2021,Belgium,Russia,3,0
13/07/2021,England,Croatia,1,0
13/07/2021,Austria,North Macedonia,3,1
13/07/2021,Netherlands,Ukraine,3,2
14/07/2021,Scotland,Czech Republic,0,2
14/07/2021,Poland,Slovakia,1,2
14/07/2021,Spain,Sweden,0,0
15/07/2021,Hungary,Portugal,0,3
15/07/2021,France,Germany,1,0
16/07/2021,Finland,Russia,0,1
16/07/2021,Turkey,Wales,0,2
16/07/2021,Italy,Switzerland,3,0
17/07/2021,Ukraine,North Macedonia,2,1
17/07/2021,Denmark,Belgium,1,2
17/07/2021,Netherlands,Austria,2,0
18/07/2021,Sweden,Slovakia,1,0
18/07/2021,Croatia,Czech Republic,1,1
18/07/2021,England,Scotland,0,0
19/07/2021,Hungary,France,1,1
19/07/2021,Portugal,Germany,2,4
19/07/2021,Spain,Poland,1,1
20/07/2021,Italy,Wales,1,0
20/07/2021,Switzerland,Turkey,3,1
21/07/2021,North Macedonia,Netherlands,0,3
21/07/2021,Ukraine,Austria,0,1
21/07/2021,Russia,Denmark,1,4
21/07/2021,Finland,Belgium,0,2
22/07/2021,Czech Republic,England,0,1
22/07/2021,Croatia,Scotland,3,1
23/07/2021,Slovakia,Spain,0,5
23/07/2021,Sweden,Poland,3,2
23/07/2021,Germany,Hungary,2,2
23/07/2021,Portugal,France,2,2
26/07/2021,Wales,Denmark,0,4
26/07/2021,Italy,Austria,2,1
27/07/2021,Netherlands,Czech Republic,0,2
27/07/2021,Belgium,Portugal,1,0
28/07/2021,Croatia,Spain,3,5
28/07/2021,France,Switzerland,3,3
29/07/2021,England,Germany,2,0
29/07/2021,Sweden,Ukraine,1,2
02/08/2021,Switzerland,Spain,1,1
02/08/2021,Belgium,Italy,1,2
03/08/2021,Czech Republic,Denmark,1,2
03/08/2021,Ukraine,England,0,4
